match_id,date,season,round,team,opponent,is_home,own_score,opp_score,result,tries,tackles_attempted,tackles_made,tackle_success_rate,carries,carry_metres,lineout_throws,lineout_won,lineout_success_rate,scrum_attempts,scrum_won,scrum_success_rate,turnovers_conceded,turnovers_won,penalties_conceded,yellow_cards,red_cards,possession_seconds,line_breaks,entries_22,entries_22_tries
945088,2025-02-09,2025,7,Toyota Verblitz,Mitsubishi Sagamihara Dynaboars,N,40,44,L,6,237,198,0.8354,149,955.0,13,10,0.7692,16,8,0.5,13,8,9,1,0,1191.8,8,10,6
945095,2025-02-15,2025,8,BlackRams Tokyo,Urayasu D-Rocks,Y,44,22,W,7,128,107,0.8359,110,853.0,16,14,0.875,40,40,1.0,18,11,11,1,0,1084.8,7,14,7
945090,2025-02-15,2025,8,Kobelco Kobe Steelers,Kubota Spears,N,20,25,L,3,128,108,0.8438,92,477.0,15,13,0.8667,61,53,0.8689,17,12,16,1,0,795.5,3,8,3
945090,2025-02-15,2025,8,Kubota Spears,Kobelco Kobe Steelers,Y,25,20,W,3,150,124,0.8267,88,503.0,14,11,0.7857,72,72,1.0,12,17,7,0,0,796.4,5,8,3
945092,2025-02-15,2025,8,Shizuoka BlueRevs,Toyota Verblitz,N,33,23,W,5,210,177,0.8429,130,813.0,20,15,0.75,64,64,1.0,15,15,12,0,0,1026.1,4,16,5
945091,2025-02-15,2025,8,Tokyo Sungoliath,Toshiba Brave Lupus Tokyo,N,33,43,L,4,275,230,0.8364,111,883.0,12,12,1.0,48,48,1.0,8,12,9,0,0,980.9,9,12,4
945091,2025-02-15,2025,8,Toshiba Brave Lupus Tokyo,Tokyo Sungoliath,Y,43,33,W,7,155,129,0.8323,160,1399.0,15,14,0.9333,48,32,0.6667,12,8,12,2,0,1272.9,14,14,7
945092,2025-02-15,2025,8,Toyota Verblitz,Shizuoka BlueRevs,Y,23,33,L,2,216,182,0.8426,119,873.0,9,7,0.7778,80,72,0.9,15,15,17,0,0,1025.6,8,9,2
945095,2025-02-15,2025,8,Urayasu D-Rocks,BlackRams Tokyo,N,22,44,L,3,168,138,0.8214,87,610.0,14,13,0.9286,48,32,0.6667,11,18,11,1,0,834.9,6,7,3
945094,2025-02-16,2025,8,Mie Honda Heat,Mitsubishi Sagamihara Dynaboars,Y,38,37,W,6,126,106,0.8413,135,971.0,22,19,0.8636,32,32,1.0,14,6,14,0,0,1149.4,10,11,6
945094,2025-02-16,2025,8,Mitsubishi Sagamihara Dynaboars,Mie Honda Heat,N,37,38,L,4,222,201,0.9054,81,505.0,13,12,0.9231,48,40,0.8333,6,14,12,0,0,797.0,6,5,4
945093,2025-02-16,2025,8,Saitama Wild Knights,Yokohama Canon Eagles,N,51,36,W,7,220,192,0.8727,147,1133.0,7,6,0.8571,30,30,1.0,9,15,11,1,1,1051.8,8,13,7
